experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,350,3,gym_default,0,0,0,0,0,0,0.0,-372.9003690870958,233,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,351,3,gym_default,0,0,0,0,0,0,0.0,-206.75432876810044,437,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,352,3,gym_default,1,0,0,0,0,0,10000.0,224.95167456078087,364,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,353,3,gym_default,1,0,0,0,0,0,10000.0,270.2213039726829,305,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,354,3,gym_default,0,0,0,0,0,0,0.0,-557.5167473818819,340,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,355,3,gym_default,0,0,0,0,0,0,0.0,-288.63196157711764,316,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,356,3,gym_default,1,0,0,0,0,0,10000.0,180.27342657896224,712,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,357,3,gym_default,1,0,0,0,0,0,10000.0,263.3765415566933,314,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,358,3,gym_default,1,0,0,0,0,0,10000.0,254.11036641733745,313,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,359,3,gym_default,1,0,0,0,0,0,10000.0,201.30485091426004,362,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,360,3,gym_default,0,0,0,0,0,0,0.0,-308.0580508954347,288,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,361,3,gym_default,1,0,0,0,0,0,10000.0,273.5915308039217,312,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,362,3,gym_default,0,0,0,0,0,0,0.0,-613.6962691635217,398,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,363,3,gym_default,1,0,0,0,0,0,10000.0,194.0076346720549,620,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,364,3,gym_default,1,0,0,0,0,0,10000.0,235.5759829796221,423,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,365,3,gym_default,0,0,0,0,0,0,0.0,-355.8879136810797,506,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,366,3,gym_default,1,0,0,0,0,0,10000.0,236.80699441970165,327,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,367,3,gym_default,1,0,0,0,0,0,10000.0,239.72470847622245,372,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,368,3,gym_default,0,0,0,0,0,0,0.0,-480.17529138626765,356,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,369,3,gym_default,1,0,0,0,0,0,10000.0,235.65085306741653,440,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,370,3,gym_default,0,0,0,0,0,0,0.0,-140.80261932681293,1000,1,1|2,0,1,0
prova_atterraggio,best_policy.pth,best,,,371,3,gym_default,1,0,0,0,0,0,10000.0,240.4143210124394,321,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,372,3,gym_default,0,0,0,0,0,0,0.0,-327.63493265815873,489,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,373,3,gym_default,0,0,0,0,0,0,0.0,-218.67767330195878,445,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,374,3,gym_default,0,0,0,0,0,0,0.0,-633.473072774444,359,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,375,3,gym_default,1,0,0,0,0,0,10000.0,269.73946491295555,316,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,376,3,gym_default,1,0,0,0,0,0,10000.0,223.3121073351312,415,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,377,3,gym_default,1,0,0,0,0,0,10000.0,225.94690320165103,423,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,378,3,gym_default,1,0,0,0,0,0,10000.0,177.27730179284572,843,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,379,3,gym_default,1,0,0,0,0,0,10000.0,208.11240532170166,350,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,380,3,gym_default,0,0,0,0,0,0,0.0,-401.82938704606585,302,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,381,3,gym_default,1,0,0,0,0,0,10000.0,232.0884892721279,346,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,382,3,gym_default,0,0,0,0,0,0,0.0,-591.6966297817471,378,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,383,3,gym_default,1,0,0,0,0,0,10000.0,253.06170677364344,322,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,384,3,gym_default,1,0,0,0,0,0,10000.0,220.44474916417553,357,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,385,3,gym_default,0,0,0,0,0,0,0.0,-277.52321255838706,963,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,386,3,gym_default,1,0,0,0,0,0,10000.0,234.6702628272933,330,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,387,3,gym_default,0,0,0,0,0,0,0.0,-1039.6626410836097,785,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,388,3,gym_default,0,0,0,0,0,0,0.0,-642.5508820835757,347,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,389,3,gym_default,1,0,0,0,0,0,10000.0,181.41087409286956,755,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,390,3,gym_default,0,0,0,0,0,0,0.0,-360.72079547313723,261,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,391,3,gym_default,1,0,0,0,0,0,10000.0,242.94282075338822,414,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,392,3,gym_default,1,0,0,0,0,0,10000.0,223.73286335937752,377,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,393,3,gym_default,0,0,0,0,0,0,0.0,-155.84833782842358,1000,1,1|2,0,1,0
prova_atterraggio,best_policy.pth,best,,,394,3,gym_default,0,0,0,0,0,0,0.0,-273.6606990156497,446,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,395,3,gym_default,1,0,0,0,0,0,10000.0,252.28909787682693,447,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,396,3,gym_default,0,0,0,0,0,0,0.0,-629.4723520625494,252,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,397,3,gym_default,1,0,0,0,0,0,10000.0,235.56001123988779,312,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,398,3,gym_default,1,0,0,0,0,0,10000.0,189.6227486063425,847,3,1|2|3|4,1,0,0
